rok	I	II	III	IV	V	VI	VII	VIII	IX	X	XI	XII
1976	-1.5	-3.6	-0.5	7.6	12.4	15.5	18	14.7	12.6	8.3	4.3	-1.5
1977	-2.2	0.8	6.1	6.7	12.9	16.9	16.6	16.3	11.2	9.1	4.8	-1.9
1978	-1	-2.8	4	6	11.4	15.1	15.6	15.5	11.8	8.9	3.3	-3.1
1979	-5.1	-4.4	3.3	6.5	13.6	18	15.7	16.7	13.7	6	3	2.6
1980	-7.3	-0.1	0.8	5.9	9.6	15.3	16.4	16.2	12.4	8.6	1.8	-0.8
1981	-3.9	-1.1	5.4	6.4	13.7	17.3	17.5	16.9	13.8	8.9	3	
1982	-5.4	-2.3	3.7	5.5	13.8	16.4	18.6	18.7	15.7	8.9	3.8	1.1
1983	2.6	-2.6	4.4	10.6	15.5	16.8	19.4	17.9	14.2	8.7	1.8	-0.9
1984	-0.3	-1.6	1.2	8.2	13.2	14.7	15.6	17.3	13.3	10.4	2.1	-1.8
1985	-9.1	-7.7	2.6	8.3	14.4	14	17.6	17.6	13.1	8	0.1	1.9
1986	-1.6	-8.3	1.9	9.8	15	16.1	17	17.3	11.8	8.7	4	-0.7
1987	-10.6	-1.9	-2.4	7.8	11.6	16.7	18.9	15.5	14.4	9	4.6	0.2
1988	1.6	1	1.2	7.4	14.3	15.9	19.1	17.7	13.8	8.1	-0.5	0.8
1989	0.5	3.4	5.7	9.6	13.4	14.8	17.9	17.6	14.2	10.1	1.9	0.8
1990	0.6	4.2	6.6	8	13.8	16.3	16.9	17.5	11.4	8.8	5.2	-0.6
1991	-0.4	-4.5	5	7.2	10.6	15.8	19.5	17.9	14.2	7.8	4.1	-2.2
1992	-1.2	1	3.6	8.3	13.2	18.6	19.8	22	12.9	6.7	3.9	-1.8
1993	0	-1.4	1.5	8.6	15.9	15.8	17	17.3	13	9.2	-1.2	2
1994	2.7	-1.4	5.1	9.1	13.2	16.6	20.8	18.5	15.3	6.9	3.9	0.8
1995	-1.3	3.4	3.2	8.1	12.7	16.7	20.4	17.7	12.7	10	-0.6	-4.5
1996	-5.9	-5.5	-1.7	7.8	14.8	17.3	16.6	17.7	10.4	9.3	5.9	-5.9
1997	-6.2	1.7	3.2	5.2	14.6	17.2	17.4	18.4	13.4	6.8	3.6	0.5
1998	0.2	3.6	2.6	10.7	14.4	18.3	18.3	17.6	13.8	8.3	-0.1	-2.4
1999	-0.3	-0.8	5	10.5	13.6	17.1	20.3	17.4	16.3	8.7	1.8	-0.1
2000	-1.8	2.5	4	12.2	15.4	17.5	16.9	19.1	12.5	12.4	6.9	1.4
2001	-0.9	0.3	3.5	8.2	15.1	15.3	19.9	19.6	12.2	11.8	2.2	-4.2
2002	-0.9	3.9	5.4	9.1	17.1	17.9	20.4	20.1	12.9	7.8	5.4	-5.3
2003	-2.4	-4.7	2.8	7.8	16.5	19.1	19.5	19.9	14.2	5.9	4.8	0
2004	-4.2	0.6	3.5	9.5	12.7	16.8	18.3	18.9	13.7	10.4	4.4	0.8
2005	0	-3.2	1.3	9.7	14.3	16.9	19.7	17.5	14.3	8.7	1.9	-0.9
2006	-8.3	-3.1	0.1	9.2	13.2	17.4	21.6	17	15.5	10.3	5.2	2.4
2007	3.2	1.2	6	9.4	15.2	18.4	19.4	19	12.4	7.7	0.8	-1.1
2008	1.1	2.2	3.8	9.1	13.6	18.4	18.7	18.2	12.6	9.6	4.7	1
2009	-3.4	-1.2	2.7	11.4	13.6	16	19.9	18.6	15.2	7.7	4.7	-0.9
2010	-6.5	-2.4	3.1	8.7	12.6	17.3	20.4	18.3	12	5.3	6	-5.3
2011	-1.2	-2.5	3.6	10.4	13.6	18.2	17.5	18.9	15.1	8.1	2	1.6
2012	-1.4	-7	4.4	9.7	15	17.8	20.2	18.8	14.5	8.5	5	-2.8
2013	-2.4	-0.5	-0.9	8.9	14.3	17.5	19.6	19.1	12.1	10.1	4.9	1.3
2014	-1.2	2.2	6.6	10.3	13.9	16.3	20.4	17.5	15.1	9.6	6	1.1
2015	1.1	0.6	4.7	8.8	13.1	17.6	20.6	21.5	15.1	7.7	5.4	4
2016	-2.3	4.0	4.7	9.2	14.2	18.7	19.4	17.9	15.5	7.8	3.7	0.2
2017	-5.7	0.1	6.2	7.5	13.7	18.8	19.1	19.9	13.5	9.7	4.1	1.7
2018	0.9	-3.0	0.6	13.8	17.1	18.9	19.9	20.6	15.6	10.4	4.5	1.2
2019	-1.8	2.9	6.2	10.0	12.4	22.3	19.2	20.3	14.5	10.4	5.9	2.7
2020	1.0	4.0	4.9	9.5	11.4	18.1	19.0	20.3	15.1	10.2	4.8	1.0
2021	-1.3	-1.1	3.4	6.2	12.5	19.6	21.4	17.6	14.4	8.8	5.1	-0.1
2022	0.6	3.3	3.5	7.1	14.9	19.5	19.5	20.4	12.9	11.0	4.2	0.2
